Symbol,Dataset
YSG,http://www.yatsenglobal.com
SMG,http://www.scottsmiraclegro.com
OLED,http://oled.com
MTN,http://www.vailresorts.com
TXT,http://www.textron.com
FFIV,http://www.f5.com
LB,http://www.lb.com
PEGA,http://www.pega.com
GWRE,http://www.guidewire.com
LUMN,http://www.lumen.com
APPN,http://www.appian.com
LAZR,http://www.luminartech.com
XPO,http://www.xpo.com
AAP,http://www.advanceautoparts.com
FSLR,http://www.firstsolar.com
NWS,http://newscorp.com
NWSA,http://newscorp.com
FSLY,http://www.fastly.com
DNLI,http://www.denalitherapeutics.com
ZNGA,http://www.zynga.com
ALLE,http://www.allegion.com
TEVA,http://www.tevapharm.com
CNA,http://www.cna.com
LII,http://www.lennoxinternational.com
PLAN,http://www.anaplan.com
WLK,http://www.westlake.com
BFAM,http://www.brighthorizons.com
RGEN,http://www.repligen.com
HST,http://www.hosthotels.com
TTC,http://www.thetorocompany.com
ICLR,http://www.iconplc.com
CBOE,http://www.cboe.com
LSXMK,http://www.libertymedia.com/companies/liberty-siriusxm-group.html
MHK,http://www.mohawkind.com
AAL,http://www.aa.com
TAP,http://www.molsoncoors.com
FND,http://www.flooranddecor.com
PWR,http://www.quantaservices.com
GL,http://www.globelifeinsurance.com
BWA,http://www.borgwarner.com
DBX,http://www.dropbox.com
AQN,http://algonquinpower.com
GLPI,http://www.glpropinc.com
LEA,http://www.lear.com
LNC,http://www.lfg.com
DLB,http://www.dolby.com
MMP,http://www.magellanlp.com
CIB,http://www.grupobancolombia.com
HNP,http://www.hpi.com.cn
TREX,http://www.trex.com
TS,http://www.tenaris.com
HEI.A,http://www.heico.com
MORN,http://www.morningstar.com
TECK,http://www.teck.com
HSIC,http://www.henryschein.com
CPT,http://www.camdenliving.com
AMED,http://www.amedisys.com
AU,http://www.anglogoldashanti.com
KC,http://www.ksyun.com
ARMK,http://www.aramark.com
AMH,http://www.americanhomes4rent.com
IPG,http://www.interpublic.com
RE,http://www.everestre.com
LBTYK,http://www.libertyglobal.com
VST,http://www.vistracorp.com
DOX,http://www.amdocs.com
CGC,http://www.canopygrowth.com
ASND,http://www.ascendispharma.com
KGC,http://www.kinross.com
SNA,http://www.snapon.com
RH,http://www.rh.com
FIVE,http://www.fivebelow.com
DAR,http://www.darlingii.com
NFE,http://www.newfortressenergy.com
FLEX,http://www.flex.com
BSAC,http://banco.santander.cl
NWL,http://www.newellbrands.com
BG,http://www.bunge.com
MLCO,http://www.melco-resorts.com
TTM,http://www.tatamotors.com
NBIX,http://www.neurocrine.com
RP,http://www.realpage.com
NTRA,http://www.natera.com
AOS,http://www.aosmith.com
WB,http://ir.weibo.com
GFL,http://gflenv.com
STOR,http://www.storecapital.com
WEX,http://www.wexinc.com
WU,http://www.westernunion.com
UHAL,http://www.amerco.com
WSO,http://www.watsco.com
SJR,http://www.shaw.ca
CONE,http://www.cyrusone.com
JAZZ,http://www.jazzpharma.com
DADA,http://about.imdada.cn
FWONK,http://www.libertymedia.com/companies/formula-one-group.html
ACH,http://www.chalco.com.cn
PNW,http://www.pinnaclewest.com
IAA,http://www.iaai.com
AZPN,http://www.aspentech.com
ADPT,http://www.adaptivebiotech.com
ATR,http://www.aptar.com
PNR,http://www.pentair.com
NVTA,http://www.invitae.com
GLOB,http://www.globant.com
NRG,http://www.nrg.com
MBT,http://www.ir.mts.ru
CHE,http://www.chemed.com
SMAR,http://www.smartsheet.com
AGNC,http://www.agnc.com
HUBB,http://www.hubbell.com
FATE,http://www.fatetherapeutics.com
IRM,http://www.ironmountain.com
BBIO,http://www.bridgebio.com
NI,http://www.nisource.com
TPR,http://www.tapestry.com
ACAD,http://www.acadia-pharm.com
SCI,http://www.sci-corp.com
Y,http://www.alleghany.com
NYT,http://www.nytco.com
OZON,http://www.ozon.ru
LAMR,http://www.lamar.com
AYX,http://www.alteryx.com
OHI,http://www.omegahealthcare.com
GNTX,http://www.gentex.com
ARWR,http://arrowheadpharma.com
IONS,http://www.ionispharma.com
LPLA,http://www.lpl.com
AEG,http://www.aegon.com
CSL,http://www.carlisle.com
LEVI,http://www.levistrauss.com
DECK,http://www.deckers.com
MOS,http://www.mosaicco.com
TIMB,http://ri.tim.com.br/Default.aspx
MKSI,http://www.mksinst.com
RNR,http://www.renre.com
EHC,http://www.encompasshealth.com
SID,http://www.csn.com.br
IPHI,http://www.inphi.com
ST,http://www.sensata.com
BRKR,http://www.bruker.com
VER,http://www.vereit.com
SEIC,http://www.seic.com
CHDN,http://www.churchilldownsincorporated.com
GFI,http://www.goldfields.com
